# x u_initial u_computed u_exact
0 30 0 30
0.2 30 0 27
0.4 30 0 24
0.6 15 0 21
0.8 15 0 18
1 15 0 15

# Iteration 1
0 30 30 30
0.2 30 30 27
0.4 30 22.5 24
0.6 15 22.5 21
0.8 15 15 18
1 15 15 15

# Iteration 2
0 30 30 30
0.2 30 26.25 27
0.4 22.5 26.25 24
0.6 22.5 18.75 21
0.8 15 18.75 18
1 15 15 15

# Iteration 3
0 30 30 30
0.2 26.25 28.125 27
0.4 26.25 22.5 24
0.6 18.75 22.5 21
0.8 18.75 16.875 18
1 15 15 15

# Iteration 4
0 30 30 30
0.2 28.125 26.25 27
0.4 22.5 25.3125 24
0.6 22.5 19.6875 21
0.8 16.875 18.75 18
1 15 15 15

# Iteration 5
0 30 30 30
0.2 26.25 27.6562 27
0.4 25.3125 22.9688 24
0.6 19.6875 22.0312 21
0.8 18.75 17.3438 18
1 15 15 15

# Iteration 6
0 30 30 30
0.2 27.6562 26.4844 27
0.4 22.9688 24.8438 24
0.6 22.0312 20.1562 21
0.8 17.3438 18.5156 18
1 15 15 15

# Iteration 7
0 30 30 30
0.2 26.4844 27.4219 27
0.4 24.8438 23.3203 24
0.6 20.1562 21.6797 21
0.8 18.5156 17.5781 18
1 15 15 15

# Iteration 8
0 30 30 30
0.2 27.4219 26.6602 27
0.4 23.3203 24.5508 24
0.6 21.6797 20.4492 21
0.8 17.5781 18.3398 18
1 15 15 15

# Iteration 9
0 30 30 30
0.2 26.6602 27.2754 27
0.4 24.5508 23.5547 24
0.6 20.4492 21.4453 21
0.8 18.3398 17.7246 18
1 15 15 15

# Iteration 10
0 30 30 30
0.2 27.2754 26.7773 27
0.4 23.5547 24.3604 24
0.6 21.4453 20.6396 21
0.8 17.7246 18.2227 18
1 15 15 15

# Iteration 11
0 30 30 30
0.2 26.7773 27.1802 27
0.4 24.3604 23.7085 24
0.6 20.6396 21.2915 21
0.8 18.2227 17.8198 18
1 15 15 15

# Iteration 12
0 30 30 30
0.2 27.1802 26.8542 27
0.4 23.7085 24.2358 24
0.6 21.2915 20.7642 21
0.8 17.8198 18.1458 18
1 15 15 15

# Iteration 13
0 30 30 30
0.2 26.8542 27.1179 27
0.4 24.2358 23.8092 24
0.6 20.7642 21.1908 21
0.8 18.1458 17.8821 18
1 15 15 15

# Iteration 14
0 30 30 30
0.2 27.1179 26.9046 27
0.4 23.8092 24.1544 24
0.6 21.1908 20.8456 21
0.8 17.8821 18.0954 18
1 15 15 15

# Iteration 15
0 30 30 30
0.2 26.9046 27.0772 27
0.4 24.1544 23.8751 24
0.6 20.8456 21.1249 21
0.8 18.0954 17.9228 18
1 15 15 15

# Iteration 16
0 30 30 30
0.2 27.0772 26.9376 27
0.4 23.8751 24.101 24
0.6 21.1249 20.899 21
0.8 17.9228 18.0624 18
1 15 15 15

# Iteration 17
0 30 30 30
0.2 26.9376 27.0505 27
0.4 24.101 23.9183 24
0.6 20.899 21.0817 21
0.8 18.0624 17.9495 18
1 15 15 15

# Iteration 18
0 30 30 30
0.2 27.0505 26.9591 27
0.4 23.9183 24.0661 24
0.6 21.0817 20.9339 21
0.8 17.9495 18.0409 18
1 15 15 15

# Iteration 19
0 30 30 30
0.2 26.9591 27.0331 27
0.4 24.0661 23.9465 24
0.6 20.9339 21.0535 21
0.8 18.0409 17.9669 18
1 15 15 15

# Iteration 20
0 30 30 30
0.2 27.0331 26.9733 27
0.4 23.9465 24.0433 24
0.6 21.0535 20.9567 21
0.8 17.9669 18.0267 18
1 15 15 15

# Iteration 21
0 30 30 30
0.2 26.9733 27.0216 27
0.4 24.0433 23.965 24
0.6 20.9567 21.035 21
0.8 18.0267 17.9784 18
1 15 15 15

# Iteration 22
0 30 30 30
0.2 27.0216 26.9825 27
0.4 23.965 24.0283 24
0.6 21.035 20.9717 21
0.8 17.9784 18.0175 18
1 15 15 15

# Iteration 23
0 30 30 30
0.2 26.9825 27.0142 27
0.4 24.0283 23.9771 24
0.6 20.9717 21.0229 21
0.8 18.0175 17.9858 18
1 15 15 15

# Iteration 24
0 30 30 30
0.2 27.0142 26.9885 27
0.4 23.9771 24.0185 24
0.6 21.0229 20.9815 21
0.8 17.9858 18.0115 18
1 15 15 15

# Iteration 25
0 30 30 30
0.2 26.9885 27.0093 27
0.4 24.0185 23.985 24
0.6 20.9815 21.015 21
0.8 18.0115 17.9907 18
1 15 15 15

# Iteration 26
0 30 30 30
0.2 27.0093 26.9925 27
0.4 23.985 24.0121 24
0.6 21.015 20.9879 21
0.8 17.9907 18.0075 18
1 15 15 15

# Iteration 27
0 30 30 30
0.2 26.9925 27.0061 27
0.4 24.0121 23.9902 24
0.6 20.9879 21.0098 21
0.8 18.0075 17.9939 18
1 15 15 15

# Iteration 28
0 30 30 30
0.2 27.0061 26.9951 27
0.4 23.9902 24.0079 24
0.6 21.0098 20.9921 21
0.8 17.9939 18.0049 18
1 15 15 15

# Iteration 29
0 30 30 30
0.2 26.9951 27.004 27
0.4 24.0079 23.9936 24
0.6 20.9921 21.0064 21
0.8 18.0049 17.996 18
1 15 15 15

# Iteration 30
0 30 30 30
0.2 27.004 26.9968 27
0.4 23.9936 24.0052 24
0.6 21.0064 20.9948 21
0.8 17.996 18.0032 18
1 15 15 15

# Iteration 31
0 30 30 30
0.2 26.9968 27.0026 27
0.4 24.0052 23.9958 24
0.6 20.9948 21.0042 21
0.8 18.0032 17.9974 18
1 15 15 15

# Iteration 32
0 30 30 30
0.2 27.0026 26.9979 27
0.4 23.9958 24.0034 24
0.6 21.0042 20.9966 21
0.8 17.9974 18.0021 18
1 15 15 15

# Iteration 33
0 30 30 30
0.2 26.9979 27.0017 27
0.4 24.0034 23.9972 24
0.6 20.9966 21.0028 21
0.8 18.0021 17.9983 18
1 15 15 15

# Iteration 34
0 30 30 30
0.2 27.0017 26.9986 27
0.4 23.9972 24.0022 24
0.6 21.0028 20.9978 21
0.8 17.9983 18.0014 18
1 15 15 15

# Iteration 35
0 30 30 30
0.2 26.9986 27.0011 27
0.4 24.0022 23.9982 24
0.6 20.9978 21.0018 21
0.8 18.0014 17.9989 18
1 15 15 15

# Iteration 36
0 30 30 30
0.2 27.0011 26.9991 27
0.4 23.9982 24.0015 24
0.6 21.0018 20.9985 21
0.8 17.9989 18.0009 18
1 15 15 15

# Iteration 37
0 30 30 30
0.2 26.9991 27.0007 27
0.4 24.0015 23.9988 24
0.6 20.9985 21.0012 21
0.8 18.0009 17.9993 18
1 15 15 15

# Iteration 38
0 30 30 30
0.2 27.0007 26.9994 27
0.4 23.9988 24.001 24
0.6 21.0012 20.999 21
0.8 17.9993 18.0006 18
1 15 15 15

# Iteration 39
0 30 30 30
0.2 26.9994 27.0005 27
0.4 24.001 23.9992 24
0.6 20.999 21.0008 21
0.8 18.0006 17.9995 18
1 15 15 15

# Iteration 40
0 30 30 30
0.2 27.0005 26.9996 27
0.4 23.9992 24.0006 24
0.6 21.0008 20.9994 21
